Date,Plant,Production for the Day,Accumulative Production
2025-12-14,SUL,0.000," ,"
2025-12-14,KABAD,0.000,176
2025-12-14,AMG,436.000,4454.5
2025-12-14,MUTLAA,503.000,5033.5
2025-12-14,M.A (C),333.500,4342
2025-12-14,M.A (G),260.000,3129
