Date,Plant,Production for the Day,Accumulative Production
2026-04-23,SUL,0,0.000
2026-04-23,KABAD,0,0.000
2026-04-23,AMG,0,959.000
2026-04-23,MUTLAA,0,384.500
2026-04-23,M.A (C),28,1085.500
2026-04-23,M.A (G),0,171.000
