Date,Plant,Production for the Day,Accumulative Production
2025-10-30,SUL,0.0,0.0
2025-10-30,KABAD,16.0,16.0
2025-10-30,AMG,247.0,10923.0
2025-10-30,MUTLAA,521.0,11729.5
2025-10-30,M.A (C),497.5,10413.0
2025-10-30,M.A (G),398.5,10219.0
