Date,Plant,Production for the Day,Accumulative Production
2025-11-13,SUL,0.000," ,"
2025-11-13,KABAD,0.000,0
2025-11-13,AMG,313.000,4294.5
2025-11-13,MUTLAA,284.000,4345.5
2025-11-13,M.A (C),519.500,4909
2025-11-13,M.A (G),517.500,4011.5
