Date,Plant,Production for the Day,Accumulative Production
2025-12-02,SUL,0.000," ,"
2025-12-02,KABAD,0.000,0
2025-12-02,AMG,260.000,564.5
2025-12-02,MUTLAA,510.000,1049
2025-12-02,M.A (C),286.000,618.5
2025-12-02,M.A (G),470.500,827
