Date,Plant,Production for the Day,Accumulative Production
2026-04-12,SUL,0.000,0.000
2026-04-12,KABAD,0.000,0.000
2026-04-12,AMG,91.000,457.500
2026-04-12,MUTLAA,0.000,384.500
2026-04-12,M.A (C),143.500,654.000
2026-04-12,M.A (G),0.000,115.000
