Date,Plant,Production for the Day,Accumulative Production
2025-12-23,SUL,0.000," ,"
2025-12-23,KABAD,0.000,176
2025-12-23,AMG,402.000,7580
2025-12-23,MUTLAA,373.000,8561
2025-12-23,M.A (C),395.500,7454.5
2025-12-23,M.A (G),423.000,5858
