Date,Plant,Production for the Day,Accumulative Production
2026-01-07,SUL,0.000," ,"
2026-01-07,KABAD,0.000,0
2026-01-07,AMG,0.000,1275.5
2026-01-07,MUTLAA,0.000,1484.5
2026-01-07,M.A (C),91.500,1500.5
2026-01-07,M.A (G),77.000,1153.5
