Date,Plant,Production for the Day,Accumulative Production
2026-01-08,SUL,0.000," ,"
2026-01-08,KABAD,0.000,0
2026-01-08,AMG,468.500,1744
2026-01-08,MUTLAA,433.000,1917.5
2026-01-08,M.A (C),442.000,1942.5
2026-01-08,M.A (G),330.500,1484
