Date,Plant,Production for the Day,Accumulative Production
2025-12-17,SUL,0.000," ,"
2025-12-17,KABAD,0.000,176
2025-12-17,AMG,339.500,5946
2025-12-17,MUTLAA,473.000,6386.5
2025-12-17,M.A (C),265.500,5405
2025-12-17,M.A (G),280.000,4306.5
