Date,Plant,Production for the Day,Accumulative Production
2025-11-03,SUL,0.0,0.0
2025-11-03,KABAD,0.0,0.0
2025-11-03,AMG,431.0,1214.0
2025-11-03,MUTLAA,384.0,928.5
2025-11-03,M.A (C),347.5,1270.0
2025-11-03,M.A (G),426.0,1236.0
