Date,Plant,Production for the Day,Accumulative Production
2026-04-20,SUL,0.000,0.000
2026-04-20,KABAD,0.000,0.000
2026-04-20,AMG,64.500,669.000
2026-04-20,MUTLAA,0.000,384.500
2026-04-20,M.A (C),32.000,950.500
2026-04-20,M.A (G),0.000,171.000
