Date,Plant,Production for the Day,Accumulative Production
2026-04-28,SUL,0,0.000
2026-04-28,KABAD,0,0.000
2026-04-28,AMG,77,1237.500
2026-04-28,MUTLAA,0,384.500
2026-04-28,M.A (C),0,1179.500
2026-04-28,M.A (G),24,219.000
