Date,Plant,Production for the Day,Accumulative Production
2026-03-25,SUL,0,0.000
2026-03-25,KABAD,0,0.000
2026-03-25,AMG,0,490.000
2026-03-25,MUTLAA,0,543.000
2026-03-25,M.A (C),8,796.500
2026-03-25,M.A (G),88,829.000
