Date,Plant,Production for the Day,Accumulative Production
2026-05-14,SUL,0.000,0
2026-05-14,KABAD,0.000,0
2026-05-14,AMG,80.000,379
2026-05-14,MUTLAA,0.000,0
2026-05-14,M.A (C),0.000,214
2026-05-14,M.A (G),100.500,111
