Date,Plant,Production for the Day,Accumulative Production
2026-04-05,SUL,0,0
2026-04-05,KABAD,0,0
2026-04-05,AMG,95,101
2026-04-05,MUTLAA,128,128
2026-04-05,M.A (C),199,199
2026-04-05,M.A (G),0,0
