Date,Plant,Production for the Day,Accumulative Production
2026-01-01,SUL,0,0
2026-01-01,KABAD,0,0
2026-01-01,AMG,0,0
2026-01-01,MUTLAA,0,0
2026-01-01,M.A (C),0,0
2026-01-01,M.A (G),0,0
