Date,Plant,Production for the Day,Accumulative Production
2025-12-07,SUL,0.000," ,"
2025-12-07,KABAD,24.000,24
2025-12-07,AMG,186.500,2183.5
2025-12-07,MUTLAA,287.000,3097.5
2025-12-07,M.A (C),111.500,1944.5
2025-12-07,M.A (G),158.000,1962.5
