Date,Plant,Production for the Day,Accumulative Production
2025-10-01,SUL,0.0,0.0
2025-10-01,KABAD,0.0,0.0
2025-10-01,AMG,644.0,644.0
2025-10-01,MUTLAA,435.5,435.5
2025-10-01,M.A (C),197.0,197.0
2025-10-01,M.A (G),257.0,257.0
