Date,Plant,Production for the Day,Accumulative Production
2026-05-16,SUL,0,0
2026-05-16,KABAD,0,0
2026-05-16,AMG,576,955
2026-05-16,MUTLAA,0,0
2026-05-16,M.A (C),576,790
2026-05-16,M.A (G),600,711
