Date,Plant,Production for the Day,Accumulative Production
2026-04-27,SUL,0,0.000
2026-04-27,KABAD,0,0.000
2026-04-27,AMG,165,1160.500
2026-04-27,MUTLAA,0,384.500
2026-04-27,M.A (C),94,1179.500
2026-04-27,M.A (G),0,195.000
