Date,Plant,Production for the Day,Accumulative Production
2025-12-10,SUL,0.000," ,"
2025-12-10,KABAD,10.000,138
2025-12-10,AMG,63.500,2754.5
2025-12-10,MUTLAA,277.000,3614
2025-12-10,M.A (C),332.000,3160.5
2025-12-10,M.A (G),0.000,1962.5
